Activity ID,Activity Name,Location,Price Level,Num Reviews,Hours of Operations,Address,Tags,Min Age,Max Age,Min Group Size,Max Group Size,Event Duration
1,mission x escape,"{'lat': 35.96498130000001, 'lng': -78.96251529999999}",2,312,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1400'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1400'}}]","3400 Westgate Dr #8, Durham, NC 27707, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,100,2,8,1
2,bull city escape,"{'lat': 36.0070876, 'lng': -78.9231176}",2,1467,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1630'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1200'}}]","2020 W Main St Suite 300, Durham, NC 27705, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,100,2,8,1
3,nc escape,"{'lat': 35.9964428, 'lng': -78.9004942}",2,440,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1430'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1430'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1430'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}]","119 Orange St #101, Durham, NC 27701, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",10,100,2,8,1
4,escape on purpose,"{'lat': 35.91719809999999, 'lng': -78.9626998}",2,297,"[{'close': {'day': 0, 'time': '1730'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}]","7072 NC-751 STE 102, Durham, NC 27713, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,100,2,8,1
5,tar heel escapes,"{'lat': 35.9130305, 'lng': -79.0577084}",2,805,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}]","140 W Franklin St Suite 170, Chapel Hill, NC 27516, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",10,100,2,8,1
6,chapel thrill escapes,"{'lat': 35.913236, 'lng': -79.0546327}",2,252,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1200'}}]","128 E Franklin St, Chapel Hill, NC 27514, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,100,2,8,1
7,game on escapes & more boxyard rtp,"{'lat': 35.8966194, 'lng': -78.8727183}",2,356,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1130'}}]","900 Park Offices Dr Suite#110 Research Triangle Boxyard, Research Triangle Park, NC 27709, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",8,100,2,8,1
8,xtreme escapes,"{'lat': 35.98022859999999, 'lng': -78.7357933}",2,7,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1000'}}]","Wake Forest Road, 7460 NC-98 #106, Durham, NC 27703, USA","['Adventure', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",7,100,2,8,1
9,wreck it rage room,"{'lat': 36.0315567, 'lng': -78.9660651}",2,428,"[{'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1530'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1400'}}]","4122 Bennett Memorial Rd STE 105, Durham, NC 27705, USA","['Adventure', 'Game', 'Indoor', 'Adults-Only', 'Medium', 'Budget-Friendly', 'Year-Round']",18,100,1,6,1
10,atomic empire,"{'lat': 35.96581430000001, 'lng': -78.96290069999999}",1,1467,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","3400 Westgate Dr #14b, Durham, NC 27707, USA","['Entertainment', 'Game', 'Indoor', 'Family-Friendly', 'Low', 'Budget-Friendly', 'Year-Round']",0,100,1,50,5
